time_s,phase,joint_position_rad_1,joint_position_rad_2,joint_position_rad_3,joint_position_rad_4,joint_position_rad_5,joint_position_rad_6,joint_velocity_rad_s_1,joint_velocity_rad_s_2,joint_velocity_rad_s_3,joint_velocity_rad_s_4,joint_velocity_rad_s_5,joint_velocity_rad_s_6,joint_acceleration_rad_s2_1,joint_acceleration_rad_s2_2,joint_acceleration_rad_s2_3,joint_acceleration_rad_s2_4,joint_acceleration_rad_s2_5,joint_acceleration_rad_s2_6
0.8,followthrough,2.267472839506172e-05,-0.10854260466666665,-0.8164230316666666,5.21058197530864e-05,-1.0653523736666666,0.9626115520864198,0.00010976543209876535,-0.33333333333333304,-0.33333333333333304,0.0002481679012345677,-0.33333333333333304,-0.00012835802469116314,-0.0003293061728395066,1.0000000000000013,1.0000000000000013,-0.0007444879012345688,1.0000000000000013,0.0003850839506182582
0.82,followthrough,2.480313308382715e-05,-0.11500610466666665,-0.8228865316666666,5.691792251772839e-05,-1.0718158736666668,0.9626090631620643,0.00010302564515432089,-0.31286666666666635,-0.31286666666666635,0.00023293069516049366,-0.31286666666666635,-0.0001204766525615156,-0.0003441236604938275,1.0450000000000008,1.0450000000000008,-0.0007779919209876549,1.0450000000000008,0.0004024114382724193
0.84,followthrough,2.679399807999999e-05,-0.12105193799999997,-0.8289323649999999,6.141907667199998e-05,-1.077861707,0.96260673507392,9.60224399999999e-05,-0.2915999999999997,-0.2915999999999997,0.0002170978559999998,-0.2915999999999997,-0.0001122872399997727,-0.00035564800000000013,1.0800000000000003,1.0800000000000003,-0.0008040512,1.0800000000000003,0.0004158880000006311
0.86,followthrough,2.8642713646543198e-05,-0.12666610466666664,-0.8345465316666666,6.559885850627158e-05,-1.0834758736666668,0.9626045732126127,8.882167922839495e-05,-0.269733333333333,-0.269733333333333,0.0002008182791604936,-0.269733333333333,-0.00010386680515408305,-0.00036387922839506176,1.105,1.105,-0.0008226656790123456,1.105,0.00042551367283993663
0.88,followthrough,3.0345987290864187e-05,-0.13183860466666664,-0.8397190316666666,6.944982223091357e-05,-1.0886483736666668,0.9626025814284129,8.148922469135793e-05,-0.2474666666666664,-0.2474666666666664,0.0001842408612345677,-0.2474666666666664,-9.529236543185434e-05,-0.00036881738271604935,1.1199999999999997,1.1199999999999997,-0.0008338352987654318,1.1199999999999997,0.0004312884938273785
0.8999999999999999,followthrough,3.190184374999999e-05,-0.13656343799999995,-0.8444438649999999,7.296749999999998e-05,-1.093373207,0.96260076203125,7.40909374999999e-05,-0.22499999999999967,-0.22499999999999967,0.0001675144999999998,-0.22499999999999967,-8.664093749975338e-05,-0.0003704624999999998,1.1249999999999991,1.1249999999999991,-0.0008375599999999989,1.1249999999999991,0.0004332124999999996
0.9199999999999999,followthrough,3.330962497580245e-05,-0.14083860466666662,-0.8487190316666665,7.61504019350123e-05,-1.0976483736666667,0.962599115790728,6.669267802469127e-05,-0.20253333333333307,-0.20253333333333307,0.00015078809441975295,-0.20253333333333307,-7.798953728370619e-05,-0.0003688146172839503,1.1199999999999988,1.1199999999999988,-0.000833839723456789,1.1199999999999988,0.00043128572839484314
0.94,followthrough,3.4569990120123436e-05,-0.1446661046666666,-0.8525465316666666,7.900001614854318e-05,-1.1014758736666668,0.9625976419361392,5.936030589506162e-05,-0.18026666666666638,-0.18026666666666638,0.00013421054464197513,-0.18026666666666638,-6.941517996889788e-05,-0.0003638737716049379,1.1049999999999984,1.1049999999999984,-0.0008226744098765418,1.1049999999999984,0.00042550821604895174
0.96,followthrough,3.568491551999998e-05,-0.1480519379999999,-0.8559323649999999,8.152080876799996e-05,-1.104861707,0.96259633815648,5.2159679999999925e-05,-0.15839999999999976,-0.15839999999999976,0.0001179307519999999,-0.15839999999999976,-6.099487999977274e-05,-0.0003556399999999996,1.0799999999999987,1.0799999999999987,-0.0008040639999999986,1.0799999999999987,0.00041587999999936843
0.98,followthrough,3.6657694682839476e-05,-0.1510061046666666,-0.8588865316666665,8.372022395930858e-05,-1.1078158736666666,0.9625952006004653,4.515665848765424e-05,-0.13713333333333316,-0.13713333333333316,0.00010209761901234555,-0.13713333333333316,-5.280565108003416e-05,-0.00034411333950617237,1.0449999999999984,1.0449999999999984,-0.0007780084345678994,1.0449999999999984,0.0004024011172831358
1.0,followthrough,3.7492938271604915e-05,-0.15354260466666658,-0.8614230316666666,8.560868395061722e-05,-1.1103523736666667,0.9625942238765433,3.841709876543201e-05,-0.11666666666666647,-0.11666666666666647,8.686004938271595e-05,-0.11666666666666647,-4.492450617264466e-05,-0.00032929382716049335,0.9999999999999978,0.9999999999999978,-0.000744507654320986,0.9999999999999978,0.00038507160493729705
1.02,followthrough,3.819657408999998e-05,-0.15567943799999995,-0.8635598649999999,8.719958905599997e-05,-1.1124892069999999,0.9625934010529101,3.2006857499999994e-05,-0.09720000000000001,-0.09720000000000001,7.236694800000009e-05,-0.09720000000000001,-3.7428457499826036e-05,-0.00031118149999999963,0.9449999999999985,0.9449999999999985,-0.0007035615999999984,0.9449999999999985,0.000363891499998895
1.04,followthrough,3.8775847067654294e-05,-0.1574386046666666,-0.8653190316666666,8.850931769916047e-05,-1.1142483736666666,0.962592723657525,2.599179061728391e-05,-0.0789333333333333,-0.0789333333333333,5.876722093827168e-05,-0.0789333333333333,-3.0394516543059025e-05,-0.00028977639506172785,0.8799999999999981,0.8799999999999981,-0.0006551702123456771,0.8799999999999981,0.00033886083950497223
1.06,followthrough,3.9239319245308616e-05,-0.1588461046666666,-0.8667265316666666,8.955722643713576e-05,-1.1156558736666666,0.9625921816781252,2.0437753302469117e-05,-0.06206666666666666,-0.06206666666666666,4.6209775456790216e-05,-0.06206666666666666,-2.389969404308366e-05,-0.0002650785493827155,0.8049999999999979,0.8049999999999979,-0.0005993334320987635,0.8049999999999979,0.00030997966049257203
1.08,followthrough,3.9596869759999975e-05,-0.15993193799999994,-0.8678123649999999,9.036564998399997e-05,-1.1167417069999999,0.9625917635622401,1.5410599999999977e-05,-0.04679999999999995,-0.04679999999999995,3.484352000000004e-05,-0.04679999999999995,-1.8020999999899016e-05,-0.00023708799999999923,0.7199999999999971,0.7199999999999971,-0.0005360511999999975,0.7199999999999971,0.000277247999998737
1.1,followthrough,3.9859694830246886e-05,-0.1607301046666666,-0.8686105316666666,9.095990123456787e-05,-1.1175398736666666,0.9625914562172069,1.097618441358027e-05,-0.03333333333333338,-0.03333333333333338,2.4817364197531077e-05,-0.03333333333333338,-1.283544367276348e-05,-0.00020580478395061663,0.6249999999999982,0.6249999999999982,-0.0004653234567901215,0.6249999999999982,0.00024066589506051023
1.12,followthrough,4.0040307741234544e-05,-0.1612786046666666,-0.8691590316666665,9.136827128809874e-05,-1.1180883736666667,0.9625912450101848,7.200359506172782e-06,-0.02186666666666659,-0.02186666666666659,1.6280218864197626e-05,-0.02186666666666659,-8.420033580194266e-06,-0.00017122893827160434,0.5199999999999978,0.5199999999999978,-0.0003871501432098747,0.5199999999999978,0.00020023338271493458
1.1400000000000001,followthrough,4.015253882999998e-05,-0.16161943799999995,-0.869499865,9.162202947199998e-05,-1.118429207,0.9625911137681701,4.148977500000012e-06,-0.012600000000000278,-0.012600000000000278,9.380996000000216e-06,-0.012600000000000278,-4.85177749996816e-06,-0.00013336049999999964,0.4049999999999989,0.4049999999999989,-0.0003015311999999986,0.4049999999999989,0.00015595049999905298
1.1600000000000001,followthrough,4.021153547061726e-05,-0.16179860466666662,-0.8696790316666665,9.175542336553084e-05,-1.1186083736666665,0.9625910447780109,1.8878898765432796e-06,-0.00573333333333359,-0.00573333333333359,4.268608790123653e-06,-0.00573333333333359,-2.2076824691206055e-06,-9.219950617283938e-05,0.2799999999999989,0.2799999999999989,-0.00020846656790123345,0.2799999999999989,0.00010781728394990793
1.18,followthrough,4.0233762059382705e-05,-0.16186610466666662,-0.8697465316666666,9.180567882350616e-05,-1.1186758736666667,0.9625910187864223,4.829473765432081e-07,-0.0014666666666668382,-0.0014666666666668382,1.0919716049384793e-06,-0.0014666666666668382,-5.647547839465424e-07,-4.774599382716062e-05,0.14499999999999957,0.14499999999999957,-0.00010795618765432023,0.14499999999999957,5.583377160454299e-05
1.2,followthrough,4.0236999999999994e-05,-0.16187593799999994,-0.869756365,9.181300000000001e-05,-1.118685707,0.9625910150000001,-5.421010862427522e-20,1.1102230246251565e-16,1.1102230246251565e-16,1.0842021724855044e-19,1.1102230246251565e-16,0.0,0.0,0.0,0.0,4.336808689942018e-19,0.0,0.0
